iter	Passed	Remaining
198	476	1916
199	477	1911
200	479	1906
201	481	1901
202	482	1895
203	484	1889
204	486	1884
205	487	1878
206	489	1873
207	491	1870
208	492	1865
209	494	1860
210	496	1855
211	497	1850
212	499	1846
213	501	1842
214	503	1837
215	505	1835
216	508	1833
217	509	1827
218	511	1824
219	513	1819
220	514	1814
221	516	1809
222	518	1806
223	521	1807
224	524	1806
225	526	1804
226	528	1799
227	530	1795
228	532	1792
229	534	1788
230	536	1786
231	538	1783
232	541	1781
233	543	1779
234	545	1774
235	546	1769
236	548	1765
237	550	1761
238	552	1758
239	554	1755
240	556	1751
241	557	1746
242	558	1741
243	560	1737
244	562	1734
245	564	1729
246	566	1726
247	567	1721
248	569	1717
249	570	1712
250	572	1709
251	574	1705
252	576	1702
253	578	1699
254	580	1697
255	582	1693
256	584	1688
257	586	1685
258	587	1680
259	589	1676
260	590	1672
261	592	1667
262	593	1663
263	595	1659
264	596	1655
265	599	1653
266	600	1648
267	601	1644
268	603	1640
269	605	1637
270	607	1633
271	608	1629
272	610	1624
273	612	1621
274	613	1617
275	615	1613
276	616	1609
277	618	1605
278	619	1601
279	621	1597
280	622	1593
281	624	1589
282	626	1586
283	627	1582
284	629	1580
285	631	1577
286	633	1574
287	635	1570
288	636	1566
289	637	1561
290	640	1559
291	641	1556
292	643	1552
293	644	1548
294	646	1545
295	648	1542
296	650	1538
297	651	1534
298	653	1531
299	655	1528
300	656	1525
301	658	1522
302	660	1518
303	661	1514
304	662	1510
305	664	1506
306	665	1502
307	667	1498
308	669	1496
309	671	1493
310	672	1490
311	673	1486
312	675	1481
313	676	1478
314	678	1474
315	679	1471
316	681	1467
317	683	1465
318	685	1463
319	687	1459
320	688	1456
321	689	1452
322	691	1448
323	692	1445
324	694	1441
325	695	1438
326	697	1434
327	698	1431
328	700	1428
329	701	1424
330	703	1421
331	704	1417
332	706	1414
333	707	1411
334	709	1407
335	711	1406
336	714	1405
337	715	1401
338	717	1398
339	719	1395
340	720	1392
341	721	1388
342	722	1384
343	724	1382
344	726	1379
345	728	1377
346	729	1373
347	731	1370
348	733	1367
349	734	1364
350	736	1361
351	738	1360
352	740	1357
353	742	1354
354	743	1351
355	745	1348
356	746	1345
357	748	1341
358	750	1339
359	751	1336
360	753	1333
361	754	1329
362	755	1326
363	757	1323
364	759	1320
365	760	1317
366	762	1315
367	764	1312
368	765	1309
369	767	1306
370	769	1304
371	770	1300
372	772	1298
373	773	1294
374	775	1293
375	777	1290
376	778	1286
377	780	1283
378	781	1281
379	783	1278
380	784	1275
381	786	1272
382	788	1270
383	789	1267
384	791	1264
385	793	1262
386	794	1259
387	796	1256
388	797	1253
389	799	1250
390	800	1247
391	802	1244
392	803	1241
393	805	1238
394	807	1236
395	808	1232
396	810	1230
397	812	1228
398	813	1225
399	815	1223
400	817	1220
401	818	1217
402	819	1214
403	821	1212
404	823	1209
405	824	1206
406	826	1203
407	827	1200
408	828	1197
409	830	1194
410	832	1192
411	833	1189
412	835	1187
413	837	1184
414	838	1182
415	840	1179
416	841	1176
417	843	1174
418	844	1170
419	846	1168
420	848	1166
421	849	1163
422	850	1160
423	852	1157
424	854	1155
425	855	1152
426	856	1149
427	858	1147
428	860	1144
429	861	1142
430	863	1139
431	864	1137
432	866	1134
433	868	1132
434	869	1129
435	870	1126
436	872	1123
437	873	1121
438	875	1118
439	876	1115
440	879	1114
441	880	1111
442	881	1108
443	883	1106
444	885	1104
445	886	1101
446	888	1098
447	889	1096
448	891	1094
449	894	1093
450	896	1091
451	897	1088
452	899	1085
453	900	1083
454	902	1080
455	903	1078
456	905	1075
457	907	1073
458	909	1071
459	910	1069
460	912	1066
461	913	1064
462	915	1061
463	916	1059
464	918	1056
465	919	1054
466	921	1052
467	923	1049
468	924	1047
469	926	1044
470	928	1042
471	930	1040
472	931	1037
473	933	1035
474	935	1033
475	937	1031
476	938	1029
477	940	1026
478	941	1024
479	943	1021
480	944	1019
481	946	1016
482	950	1017
483	952	1014
484	953	1012
485	955	1010
486	957	1008
487	958	1005
488	960	1003
489	961	1001
490	963	998
491	964	996
492	966	993
493	968	991
494	969	989
495	971	987
496	973	984
497	974	982
498	976	979
499	977	977
500	979	975
501	981	973
502	983	971
503	984	969
504	986	967
505	987	964
506	989	962
507	991	960
508	992	957
509	994	955
510	996	953
511	997	951
512	999	948
513	1000	946
514	1002	943
515	1003	941
516	1005	939
517	1006	936
518	1008	934
519	1009	932
520	1011	930
521	1013	927
522	1015	925
523	1016	923
524	1018	921
525	1020	919
526	1022	917
527	1023	915
528	1025	912
529	1027	911
530	1028	908
531	1030	906
532	1031	904
533	1033	902
534	1035	899
535	1036	897
536	1038	895
537	1040	893
538	1042	891
539	1043	889
540	1045	887
541	1047	884
542	1048	882
543	1050	880
544	1051	878
545	1053	876
546	1054	873
547	1056	871
548	1058	869
549	1060	867
550	1061	865
551	1063	862
552	1065	860
553	1066	858
554	1067	856
555	1069	853
556	1071	852
557	1072	849
558	1074	847
559	1076	846
560	1078	843
561	1079	841
562	1081	839
563	1083	837
564	1085	835
565	1087	833
566	1089	832
567	1091	830
568	1092	827
569	1094	825
570	1096	823
571	1097	821
572	1099	819
573	1101	817
574	1103	815
575	1104	813
576	1106	811
577	1107	808
578	1109	806
579	1111	804
580	1112	802
581	1114	800
582	1116	798
583	1117	796
584	1119	793
585	1120	791
586	1122	789
587	1123	787
588	1125	785
589	1127	783
590	1128	781
591	1130	779
592	1132	777
593	1133	774
594	1134	772
595	1136	770
596	1138	768
597	1140	766
598	1141	764
599	1143	762
600	1145	760
601	1147	758
602	1148	756
603	1150	754
604	1151	751
605	1153	749
606	1154	747
607	1156	745
608	1157	743
609	1159	741
610	1160	738
611	1162	737
612	1164	734
613	1165	732
614	1167	730
615	1169	728
616	1170	726
617	1171	724
618	1173	722
619	1175	720
620	1177	718
621	1178	716
622	1180	714
623	1182	712
624	1183	710
625	1184	707
626	1186	705
627	1188	704
628	1190	702
629	1192	700
630	1193	698
631	1195	696
632	1196	693
633	1198	691
634	1200	689
635	1201	687
636	1203	685
637	1205	683
638	1207	682
639	1208	680
640	1211	678
641	1215	677
642	1217	675
643	1219	674
644	1221	672
645	1223	670
646	1224	668
647	1226	666
648	1227	663
649	1229	661
650	1231	660
651	1236	659
652	1240	658
653	1242	657
654	1247	656
655	1249	655
656	1253	654
657	1257	653
658	1261	653
659	1264	651
660	1267	649
661	1269	648
662	1271	646
663	1274	645
664	1276	643
665	1278	641
666	1281	639
667	1283	637
668	1285	635
669	1287	634
670	1289	632
671	1291	630
672	1293	628
673	1294	626
674	1296	624
675	1299	622
676	1300	620
677	1302	618
678	1303	616
679	1305	614
680	1306	612
681	1308	610
682	1309	607
683	1311	605
684	1313	603
685	1314	601
686	1316	599
687	1317	597
688	1319	595
689	1320	593
690	1321	591
691	1323	588
692	1324	586
693	1326	584
694	1328	582
695	1330	581
696	1331	578
697	1333	576
698	1334	574
699	1336	572
700	1337	570
701	1339	568
702	1342	567
703	1344	565
704	1346	563
705	1348	561
706	1349	559
707	1351	557
708	1353	555
709	1355	553
710	1357	551
711	1359	549
712	1361	547
713	1362	545
714	1364	543
715	1366	541
716	1367	539
717	1369	537
718	1371	535
719	1373	533
720	1374	531
721	1376	530
722	1378	527
723	1379	525
724	1381	524
725	1383	522
726	1385	520
727	1387	518
728	1389	516
729	1390	514
730	1392	512
731	1393	510
732	1395	508
733	1396	506
734	1398	504
735	1399	502
736	1401	500
737	1403	498
738	1405	496
739	1406	494
740	1408	492
741	1409	490
742	1411	488
743	1412	486
744	1414	484
745	1415	482
746	1417	479
747	1418	477
748	1420	475
749	1421	473
750	1423	471
751	1424	469
752	1426	467
753	1427	465
754	1430	464
755	1432	462
756	1434	460
757	1435	458
758	1436	456
759	1438	454
760	1439	452
761	1441	450
762	1443	448
763	1444	446
764	1446	444
765	1448	442
766	1450	440
767	1451	438
768	1453	436
769	1455	434
770	1456	432
771	1458	430
772	1461	429
773	1462	427
774	1464	425
775	1465	423
776	1467	421
777	1468	419
778	1470	417
779	1471	415
780	1473	413
781	1475	411
782	1477	409
783	1478	407
784	1480	405
785	1481	403
786	1483	401
787	1485	399
788	1487	397
789	1489	395
790	1492	394
791	1493	392
792	1495	390
793	1496	388
794	1498	386
795	1499	384
796	1501	382
797	1502	380
798	1504	378
799	1506	376
800	1507	374
801	1509	372
802	1510	370
803	1512	368
804	1513	366
805	1515	364
806	1516	362
807	1517	360
808	1519	358
809	1521	356
810	1523	354
811	1524	353
812	1526	351
813	1528	349
814	1529	347
815	1531	345
816	1532	343
817	1534	341
818	1536	339
819	1537	337
820	1539	335
821	1541	333
822	1543	331
823	1544	329
824	1546	328
825	1548	326
826	1550	324
827	1553	322
828	1555	320
829	1557	319
830	1559	317
831	1560	315
832	1562	313
833	1564	311
834	1566	309
835	1567	307
836	1569	305
837	1571	303
838	1573	301
839	1574	299
840	1576	297
841	1577	296
842	1579	294
843	1581	292
844	1583	290
845	1585	288
846	1586	286
847	1588	284
848	1589	282
849	1591	280
850	1593	278
851	1594	277
852	1596	275
853	1598	273
854	1600	271
855	1601	269
856	1603	267
857	1604	265
858	1606	263
859	1607	261
860	1610	259
861	1612	258
862	1614	256
863	1615	254
864	1617	252
865	1619	250
866	1620	248
867	1622	246
868	1624	244
869	1627	243
870	1629	241
871	1631	239
872	1632	237
873	1634	235
874	1635	233
875	1637	231
876	1640	230
877	1642	228
878	1644	226
879	1646	224
880	1647	222
881	1649	220
882	1650	218
883	1653	216
884	1655	215
885	1657	213
886	1659	211
887	1660	209
888	1662	207
889	1664	205
890	1665	203
891	1666	201
892	1669	199
893	1670	198
894	1672	196
895	1674	194
896	1675	192
897	1677	190
898	1678	188
899	1680	186
900	1682	184
901	1684	183
902	1686	181
903	1688	179
904	1689	177
905	1691	175
906	1693	173
907	1695	171
908	1696	169
909	1698	167
910	1700	166
911	1702	164
912	1703	162
913	1705	160
914	1708	158
915	1710	156
916	1711	154
917	1713	153
918	1715	151
919	1717	149
920	1718	147
921	1720	145
922	1721	143
923	1723	141
924	1725	139
925	1727	138
926	1728	136
927	1729	134
928	1731	132
929	1732	130
930	1734	128
931	1735	126
932	1737	124
933	1738	122
934	1740	120
935	1741	119
936	1743	117
937	1745	115
938	1747	113
939	1749	111
940	1750	109
941	1751	107
942	1753	105
943	1754	104
944	1756	102
945	1758	100
946	1759	98
947	1760	96
948	1762	94
949	1764	92
950	1765	90
951	1767	89
952	1768	87
953	1770	85
954	1771	83
955	1773	81
956	1774	79
957	1776	77
958	1777	76
959	1779	74
960	1780	72
961	1781	70
962	1783	68
963	1785	66
964	1785	64
965	1787	62
966	1789	61
967	1791	59
968	1793	57
969	1795	55
970	1796	53
971	1797	51
972	1799	49
973	1801	48
974	1802	46
975	1804	44
976	1805	42
977	1807	40
978	1809	38
979	1810	36
980	1812	35
981	1813	33
982	1815	31
983	1817	29
984	1818	27
985	1820	25
986	1821	23
987	1823	22
988	1824	20
989	1826	18
990	1827	16
991	1829	14
992	1831	12
993	1833	11
994	1835	9
995	1837	7
996	1838	5
997	1840	3
998	1842	1
999	1843	0
